Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
13,2025-12-07,Estrela Amadora,Arouca,3 - 1,3.9502,1.2888,0,0,0,0,9,0,63,0,24,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0
13,2025-12-06,Famalicão,Sporting Braga,1 - 2,1.5106,2.8711,0,0,0,0,4,0,43,0,7,0,3,0,4.0,0.0,0.0,0.0,0.0,0.0
13,2025-12-06,Santa Clara,Casa Pia,1 - 0,1.181,0.4822999999999999,0,0,0,0,3,0,43,0,11,0,7,0,0.0,0.0,0.0,0.3,3.5,0.0
13,2025-12-07,Tondela,Porto,0 - 2,0.5826,1.8997,0,0,0,0,2,0,26,0,11,0,2,0,0.0,0.0,0.0,1.0,13.0,0.0
13,2025-12-08,Vitória Guimarães,Gil Vicente,0 - 0,0.4901999999999999,0.3162,0,0,0,0,3,0,52,0,10,0,8,0,3.0,0.0,0.0,0.0,0.0,0.0
14,2025-12-14,Arouca,Alverca,1 - 0,1.3916,0.3253,0,0,0,0,4,0,69,0,18,0,8,0,0.0,0.0,1.0,0.0,0.0,0.0
14,2025-12-13,Casa Pia,Gil Vicente,1 - 1,0.2202,0.7766000000000001,0,0,0,0,1,0,33,0,3,0,1,0,0.3,0.0,0.0,0.0,0.0,0.0
14,2025-12-14,Famalicão,Estoril,4 - 0,2.5034,0.7712,0,0,0,0,12,0,54,0,20,0,4,0,4.0,0.0,0.0,0.0,0.0,1.0
14,2025-12-14,Moreirense,Benfica,0 - 4,0.656,0.9598,0,0,0,0,2,0,53,0,10,0,4,0,0.0,0.0,0.0,39.0,9.0,0.0
14,2025-12-15,Nacional,Tondela,3 - 1,2.3489,4.037100000000001,1,0,1,0,4,0,44,0,8,0,3,0,0.0,0.0,0.7,0.0,0.05,0.0
14,2025-12-15,Porto,Estrela Amadora,3 - 1,3.4939,0.2558,0,0,1,0,7,0,66,0,21,0,4,0,1.0,13.0,0.0,0.0,0.0,0.0
14,2025-12-13,Rio Ave,Vitória Guimarães,0 - 1,0.3933999999999999,1.9279,1,0,0,0,2,0,43,0,8,0,6,0,0.0,0.0,0.0,3.0,0.0,0.0
14,2025-12-15,Sporting Braga,Santa Clara,1 - 0,0.7464999999999999,0.3359,0,0,0,0,3,0,67,0,6,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
14,2025-12-13,Sporting CP,AVS,6 - 0,2.5273,0.6546000000000001,0,0,0,0,14,0,67,0,24,0,8,0,28.0,35.0,10.0,0.0,0.0,0.0
15,2025-12-21,AVS,Nacional,2 - 2,1.0997,1.4347,1,0,0,0,3,0,36,0,16,0,9,0,0.0,0.0,0.0,0.0,1.2,0.7
15,2025-12-22,Alverca,Porto,0 - 3,0.6783,1.2497,0,0,0,0,5,0,40,0,8,0,4,0,0.0,0.0,0.0,1.0,13.0,0.0
15,2025-12-22,Benfica,Famalicão,1 - 0,1.2145,0.186,0,0,1,0,6,0,55,0,9,0,5,0,27.0,9.0,15.0,4.0,0.0,0.0
15,2025-12-19,Estoril,Sporting Braga,1 - 0,1.5441,2.4095,0,0,0,0,7,0,32,0,13,0,9,0,0.0,0.0,1.0,0.0,0.0,0.0
15,2025-12-20,Estrela Amadora,Moreirense,0 - 0,1.11,0.8170000000000001,0,0,0,0,3,0,49,0,13,0,3,0,0.0,0.0,0.0,0.0,0.0,2.0
15,2025-12-20,Gil Vicente,Rio Ave,2 - 2,1.4280000000000002,0.2654,0,0,0,0,5,0,54,0,23,0,10,0,0.0,0.0,0.0,0.0,2.0,0.0
15,2025-12-21,Santa Clara,Arouca,0 - 0,0.6041,0.3304,0,0,0,0,5,0,52,0,9,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0
15,2025-12-21,Tondela,Casa Pia,1 - 2,1.6364,1.6214,0,0,1,0,4,0,46,0,11,0,6,0,0.0,0.05,0.0,0.2,0.0,0.0
15,2025-12-23,Vitória Guimarães,Sporting CP,1 - 4,1.2248,2.7932,1,0,0,0,5,0,44,0,17,0,2,0,3.0,1.0,3.0,90.0,80.0,10.0
16,2025-12-28,Arouca,Gil Vicente,2 - 2,1.2674,1.7253,0,0,0,0,5,0,46,0,9,0,4,0,0.0,0.0,1.0,0.0,0.0,0.0
16,2025-12-28,Casa Pia,Vitória Guimarães,0 - 0,0.4508999999999999,1.3405,0,0,0,0,2,0,44,0,5,0,2,0,0.2,0.0,0.0,3.0,0.0,0.0
16,2025-12-27,Estoril,Alverca,4 - 1,1.1488999999999998,0.7331000000000001,0,0,0,0,4,0,64,0,9,0,3,0,0.0,0.0,1.0,0.0,0.0,0.0
16,2025-12-27,Famalicão,Estrela Amadora,2 - 3,2.6935,0.6966,0,0,0,0,5,0,61,0,22,0,9,0,4.0,0.0,0.0,0.0,0.0,0.0
16,2026-01-11,Moreirense,Tondela,1 - 0,0.5510999999999999,0.5138,0,0,0,0,2,0,59,0,7,0,4,0,0.0,0.0,2.0,0.0,0.0,0.0
16,2026-01-11,Nacional,Santa Clara,3 - 3,1.8086,2.0449,0,0,1,0,5,0,46,0,12,0,2,0,0.0,1.2,0.7,0.0,4.5,0.0
16,2025-12-29,Porto,AVS,2 - 0,2.3694,0.2765999999999999,0,0,1,0,4,0,70,0,18,0,7,0,1.0,13.0,0.0,0.0,0.0,0.0
16,2025-12-28,Sporting Braga,Benfica,2 - 2,1.7475000000000005,1.2409,1,0,1,0,3,0,49,0,11,0,1,0,0.0,0.0,0.0,27.0,9.0,0.0
16,2025-12-28,Sporting CP,Rio Ave,4 - 0,3.6611,0.1545,0,0,0,0,12,0,59,0,23,0,8,0,28.0,35.0,10.0,0.0,2.0,0.0
